chnm	casn	gene_name	assay_name	assay_format_type	assay_source_name	organism	logc	resp	idx
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	2.301029996	2.238720939	135712
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-1.096910013	3.597532932	137749
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.522878745	3.536933129	137750
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.096910013	3.926753665	137751
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.301029996	3.947830007	137752
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.84509804	3.833117363	137753
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.301029996	3.658631271	137754
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.77815125	3.096302749	137755
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	2.301029996	2.293459666	137756
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-1.096910013	3.597532932	137757
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.522878745	3.536933129	137758
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.096910013	3.926753665	137759
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.301029996	3.947830007	137760
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.84509804	3.833117363	137761
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.301029996	3.658631271	137762
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.77815125	3.096302749	137763
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	2.301029996	2.293459666	137764
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-1.096910013	2.75636989	137894
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.522878745	2.97324948	137895
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.096910013	2.683490772	137896
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.301029996	2.566626696	137897
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.84509804	2.797297434	137898
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.301029996	2.473050761	137899
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.77815125	2.33605809	137900
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	2.301029996	2.045301062	137901
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-1.096910013	2.75636989	137902
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.522878745	2.97324948	137903
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.096910013	2.683490772	137904
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.301029996	2.566626696	137905
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.84509804	2.797297434	137906
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.301029996	2.473050761	137907
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.77815125	2.33605809	137908
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	2.301029996	2.045301062	137909
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-1.096910013	3.864590974	138041
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.522878745	3.850163709	138042
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.096910013	3.913616789	138043
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.301029996	3.25039432	138044
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.84509804	3.659096907	138045
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.301029996	3.30717379	138046
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.77815125	2.808393909	138047
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	2.301029996	2.100419879	138048
